
> yaya-prototype@0.1.0 dev:web
> next dev

▲ Next.js 16.2.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.24.74.123:3000
- Environments: .env.local, .env
 GET / 200 in 162ms (next.js: 56ms, application-code: 106ms)
 GET / 200 in 165ms (next.js: 89ms, application-code: 76ms)
 GET / 200 in 143ms (next.js: 6ms, application-code: 137ms)
 GET / 200 in 155ms (next.js: 4ms, application-code: 151ms)
 GET / 200 in 154ms (next.js: 8ms, application-code: 146ms)
 GET / 200 in 154ms (next.js: 36ms, application-code: 118ms)
 GET / 200 in 156ms (next.js: 58ms, application-code: 98ms)
 GET / 200 in 98ms (next.js: 12ms, application-code: 86ms)
 GET / 200 in 134ms (next.js: 9ms, application-code: 125ms)
 GET / 200 in 179ms (next.js: 10ms, application-code: 169ms)
 GET / 200 in 155ms (next.js: 5ms, application-code: 150ms)
 GET / 200 in 162ms (next.js: 26ms, application-code: 136ms)
 GET / 200 in 163ms (next.js: 46ms, application-code: 117ms)
 GET / 200 in 149ms (next.js: 20ms, application-code: 129ms)
 GET / 200 in 196ms (next.js: 7ms, application-code: 189ms)
 GET / 200 in 181ms (next.js: 17ms, application-code: 164ms)
 GET / 200 in 141ms (next.js: 13ms, application-code: 128ms)
 GET / 200 in 134ms (next.js: 32ms, application-code: 102ms)
 GET / 200 in 137ms (next.js: 61ms, application-code: 76ms)
 GET / 200 in 80ms (next.js: 13ms, application-code: 68ms)
 GET / 200 in 114ms (next.js: 6ms, application-code: 108ms)
 GET / 200 in 140ms (next.js: 8ms, application-code: 133ms)
 GET / 200 in 116ms (next.js: 6ms, application-code: 111ms)
 GET / 200 in 97ms (next.js: 4ms, application-code: 93ms)
 GET / 200 in 99ms (next.js: 24ms, application-code: 75ms)
 GET / 200 in 74ms (next.js: 6ms, application-code: 68ms)
 GET / 200 in 54ms (next.js: 3ms, application-code: 51ms)
 GET / 200 in 29ms (next.js: 4ms, application-code: 25ms)
✓ Compiled in 127ms
 GET /api/health 200 in 407ms (next.js: 160ms, application-code: 247ms)
 POST /api/import 200 in 240ms (next.js: 84ms, application-code: 156ms)
✓ Compiled in 4ms
 POST /api/import/upload 200 in 209ms (next.js: 183ms, application-code: 26ms)
 GET / 200 in 315ms (next.js: 176ms, application-code: 139ms)
 GET /api/health 200 in 18ms (next.js: 4ms, application-code: 14ms)
 POST /api/import 200 in 21ms (next.js: 5ms, application-code: 17ms)
 GET / 200 in 342ms (next.js: 163ms, application-code: 180ms)
 GET / 200 in 135ms (next.js: 25ms, application-code: 110ms)
 GET / 200 in 124ms (next.js: 12ms, application-code: 111ms)
 GET / 200 in 123ms (next.js: 43ms, application-code: 80ms)
 GET / 200 in 125ms (next.js: 28ms, application-code: 98ms)
 GET / 200 in 125ms (next.js: 61ms, application-code: 64ms)
 GET / 200 in 120ms (next.js: 5ms, application-code: 115ms)
 GET / 200 in 121ms (next.js: 3ms, application-code: 118ms)
 GET / 200 in 129ms (next.js: 3ms, application-code: 126ms)
 GET / 200 in 130ms (next.js: 18ms, application-code: 112ms)
 GET / 200 in 134ms (next.js: 52ms, application-code: 81ms)
 GET / 200 in 227ms (next.js: 37ms, application-code: 190ms)
 GET / 200 in 210ms (next.js: 5ms, application-code: 205ms)
 GET / 200 in 246ms (next.js: 2ms, application-code: 243ms)
 GET / 200 in 160ms (next.js: 8ms, application-code: 152ms)
 GET / 200 in 158ms (next.js: 27ms, application-code: 131ms)
 GET / 200 in 179ms (next.js: 44ms, application-code: 135ms)
 GET / 200 in 184ms (next.js: 87ms, application-code: 97ms)
 GET / 200 in 179ms (next.js: 8ms, application-code: 172ms)
 GET / 200 in 375ms (next.js: 7ms, application-code: 368ms)
 GET / 200 in 422ms (next.js: 6ms, application-code: 416ms)
 GET / 200 in 422ms (next.js: 31ms, application-code: 392ms)
 GET / 200 in 467ms (next.js: 118ms, application-code: 350ms)
